#,template,caption_1,caption_2,caption_3
1,Disaster_Girl.jpg,"Rent's due, car's broken, makeup flawless.",Missed three emails? That was strategic silence.,"Laundry mountain, cereal for dinner, still thriving."
2,Disaster_Girl.jpg,Checked one thing off my to-do list — chaos officially managed.,Paid one bill early; I'm basically a responsible adult now.,"Plants dead, dishes piled, but my smile is immaculate."
3,Disaster_Girl.jpg,"Me: ""I'm fine."" Deadlines: burning","""I'll start Monday"" — Monday: ""hold my fire""",Folded one shirt. Rest of life: immediate meltdown
4,Disaster_Girl.jpg,"Inbox: 999+ — Me: ""Everything's under control.""","Burnt dinner? ""Gourmet charcoal, very in right now.""","Wi-Fi drops for 2 minutes — Family: ""We are doomed."""
5,Disaster_Girl.jpg,237 unread emails. I'm definitely thriving.,"Laundry pile: national landmark. Me: ""It's a vibe.""","Planned productivity, ended in snacks and optimism."
6,Disaster_Girl.jpg,Me smiling while my inbox burns,Planned to adult today. Chaos RSVP'd.,Snoozed one alarm. Started a national crisis
7,Disaster_Girl.jpg,Me smiling while my to-do list quietly combusts.,Canceled plans and now I'm just observing the fallout.,"Hit ""reply all"" by accident — serenity achieved."
8,Disaster_Girl.jpg,"Me: ""I'll do it tomorrow."" Tomorrow: inferno.",Snoozed one alarm. Now it's my brand.,Meal-prep optimism vs actual execution: ashes.
9,Disaster_Girl.jpg,"""I'll start Monday.""","Snoozed alarms, unpaid bills, still smiling.","Plants are dying, confidence is not."
10,Disaster_Girl.jpg,"Me: ""Today I'll be productive."" Also me: 12 tabs open and a small apocalypse.","Says ""I'll fix it later"" — world: already on fire.",Paid one bill. Everything else: dramatic inferno.
11,Disaster_Girl.jpg,"Me: ""I'll be productive today."" Also me: 12 tabs and crying","Hit snooze 5 times, still late — professional procrastinator","Paid rent, fridge's empty — priorities intact"
12,Disaster_Girl.jpg,"Me: ""I'll do it later."" Later: chaos.","Tried to adult — minor inferno, major smile.",Inbox: 999+ unread. Me: thriving.
13,Laughing_Leo.jpg,"Told myself ""five more minutes"" — woke up at 3 PM.","Planned to fix one thing, ended up reorganizing everything but that thing.",Perfect comeback arrived... three hours too late.
14,Laughing_Leo.jpg,Laughing because I said I’d start my diet... Monday,"When your ""5-minute nap"" turns into tomorrow morning","Grinning after sending a one-word ""K"" to a group chat"
15,Laughing_Leo.jpg,When the Wi-Fi comes back and you act like you won the lottery,Me applauding myself for doing one load of laundry in three weeks,"Laughing because my ""quick nap"" turned into a 3-hour time warp"
16,You_Guys_Are_Getting_Paid.jpg,Charged overnight: 5% ? 6%.,Hit snooze 10 times and somehow still shocked I'm late,Walked into a room and forgot what I came for.
17,You_know_Im_something_of_a_scientist_myself.jpg,Fixed the Wi-Fi by turning it off and on — genius move.,Left the house with matching socks. Peak adulting.,Found the Tupperware lid. My life is complete.
18,You_know_Im_something_of_a_scientist_myself.jpg,"Left the house with keys, wallet AND phone — peak adulthood.",Closed 73 tabs and still remembered the one important link — hacker energy.,Pressed snooze once and still made it on time — living dangerously.
19,You_know_Im_something_of_a_scientist_myself.jpg,Paid a bill early. I'm a grown-up now.,Matched socks on the first try. Peak performance.,Prepped one lunch. Adulting unlocked.
20,You_know_Im_something_of_a_scientist_myself.jpg,"Found the missing sock. Case closed, confidence restored.",Remembered my password without resetting it.,Snoozed once and still on time.
