#,template,caption_1,caption_2,caption_3
1,Success_Kid.jpg,Hit “Submit” at 11:59 — instant hero,Professor canceled lecture — free day unlocked,Wrote one sentence for group project — we got an A!
2,Success_Kid.jpg,Submitted at 11:59:59 — champion,Found extra credit — GPA saved,Professor cancels lecture — instant holiday
3,Success_Kid.jpg,Aced the quiz I skimmed 5 minutes before,Group project done — my one slide saved us,Printer worked at 11:59 PM — assignment submitted
4,Success_Kid.jpg,Studied one thing. Exam asked that thing.,Skipped class — professor cancels it.,Printer worked on first try. Miracle.
5,Success_Kid.jpg,Prof cancels class — day off unlocked,Submitted the assignment 3 minutes early,Found $20 in my backpack during finals
6,Success_Kid.jpg,Submitted at 11:59:59 — still counts,Woke up for an 8 AM class — who even am I?,Found free pizza in the library — GPA boosted
7,Success_Kid.jpg,Submitted essay 1 minute before deadline,Open-book exam? Instant confidence,Studied the exact lecture slides — lucky me
8,Success_Kid.jpg,11:59 submission — master of last-minute miracles,Woke up 2 minutes before class and actually joined — win,Group project: I contributed moral support — we passed
9,Success_Kid.jpg,Submitted my paper with 2 minutes to spare,Professor cancels lecture — free nap unlocked,"Group project: I did nothing, we still got an A"
10,The_Office_Congratulations.jpg,Prof cancels the exam — pretending I studied this whole time,When you guess the right answer and pretend it’s skill,When you ace a test you didn’t study for and act like it was strategy
11,Third_World_Skeptical_Kid.jpg,You studied for 5 minutes and expect an A? Uh-huh.,“I’ll do my part” — famous last words of every group project.,Professor: “This won’t be on the exam.”
12,Third_World_Skeptical_Kid.jpg,Group project: “I’ll do my part.” Me: side-eye,Professor: “This won’t be on the exam.” Me: “Sure…”,Syllabus: “Attendance optional.” Reality: “Definitely not.”
13,Third_World_Skeptical_Kid.jpg,Prof: “This won’t be on the exam.” Also prof: includes it anyway.,Group member: “I did my part.” Me: Sure you did.,Syllabus: “Attendance optional.” Professor: “Pop quiz.” Me: Nope.
14,Third_World_Skeptical_Kid.jpg,Professor: “Won’t be on the exam.” Exam: “Plot twist.”,Group project: “I’ll handle it.” Also group: disappears,Me at 3 AM: “I’ll just read one chapter.” Me at exam: “Who am I?”
15,Waiting_Skeleton.jpg,Waiting for my group members to do any work,Still waiting for the professor to curve the exam,Waiting for graduation like it’s a plot twist
16,Waiting_Skeleton.jpg,Waiting for my groupmates to do their part,"“Grades will be posted soon.” — me, centuries later",Refreshing course registration like it’s an Olympic sport
17,Waiting_Skeleton.jpg,Waiting for my groupmate to actually do work,Still waiting for the legendary grade curve,Stuck in office hours since freshman year
18,Waiting_Skeleton.jpg,Waiting for grades like it’s dial-up,Waiting for my groupmate to actually do their 5%,Emailed my advisor two weeks ago. Still a skeleton.
19,Waiting_Skeleton.jpg,Waiting for my group member to finally do their part,Refreshing Canvas like grades will appear by magic,Professor: “This will be quick.” Me: becomes fossil
20,Waiting_Skeleton.jpg,Waiting for my group chat to do actual work,“Grades in two weeks” — I’m officially ancient,Sitting in office hours for help like I’ve been here a lifetime
