#,template,caption_1,caption_2,caption_3,refined caption
1,Absolute_Cinema.jpg,When the AI refactors your code—and it runs,When autocomplete writes the perfect email,When the chatbot summarizes the meeting perfectly,
2,Absolute_Cinema.jpg,"Copilot: ""Here's a fix."" Me: standing ovation",When the AI meeting notes actually make sense,Watching my model not hallucinate for once,
3,Absolute_Cinema.jpg,When autocomplete finishes your thought—and it’s perfect.,Me watching my code compile on the first try.,"When the chatbot helps without saying ""As an AI...""",
4,Absolute_Cinema.jpg,When the AI refactors your code and nothing explodes.,When autocorrect finally gets your sarcasm.,When the chatbot answers with sources on the first try.,
5,Change_My_Mind.jpg,Autocorrect is plotting against me,My smart home is a passive-aggressive roommate,Copilot writes code; I fix the bugs,
6,Change_My_Mind.jpg,Autocorrect: your phone's boldest opinion — change my mind.,My smart fridge judges my snacks — change my mind.,AI is just extremely confident Googling — change my mind.,
7,Change_My_Mind.jpg,Autocorrect: my uninvited coauthor,Smart home = passive-aggressive roommate,AI didn't steal jobs — it automated meetings,
8,Change_My_Mind.jpg,My smart fridge judges my midnight snacks.,Autocorrect: AI's first passive-aggressive feature.,AI didn't steal jobs — it stole our meetings.,
9,Change_My_Mind.jpg,We've outsourced thinking to autocomplete,AI fixes bugs I didn't know I wrote,My smart home judges my midnight snacks,
10,Change_My_Mind.jpg,Autocorrect: my passive-aggressive roommate,Smart assistants are drama-prone interns,ChatGPT writes emails I pretend I wrote,
11,Change_My_Mind.jpg,Autocorrect: proof AI has opinions,My smart fridge knows me better than my therapist,"If AI learns memes, the internet is doomed",
12,Change_My_Mind.jpg,"ChatGPT writes my emails, I take the credit",Software updates are mandatory humility lessons,My smart home only works when guests are gone,
13,Change_My_Mind.jpg,AI won't steal jobs — it'll steal all the boring meetings. Change my mind.,My phone knows me better than my friends. Change my mind.,Autocorrect is an AI with trust issues. Change my mind.,
14,One_Does_Not_Simply.jpg,"They said ""just add AI."" I said ""brace for updates.""","Explaining to stakeholders: ""AI ? magic, it's unpaid overtime.""","Me: ""One tiny tweak."" Model: ""Rewrite everything.""",
15,Surprised_Pikachu.jpg,When AI refactors your spaghetti into clean code,"When autocomplete emails your boss ""On it"" — without you",When your laptop updates five minutes before the demo,
16,Surprised_Pikachu.jpg,Asked AI for a hint — it rewrote my thesis.,Autocomplete: confident. My build: crying.,"Me: 5 hours debugging. AI: ""Oh, typo.""",
17,Surprised_Pikachu.jpg,"When you hit ""Run"" and it compiles on the first try.",When autocomplete actually finishes your function — and it's correct.,When the AI summarizes your 3-hour rant into one perfect sentence.,
18,Surprised_Pikachu.jpg,"Me: ""Just a tiny model tweak."" Production: surprise outage.",When ChatGPT confidently cites a paper that doesn’t exist.,Tuned hyperparameters for days — model now recommends memes.,
19,Surprised_Pikachu.jpg,When AI fixes your bug in one line,When your phone's suggested reply wins the argument,When AI writes your résumé and you're suddenly a legend,
20,Surprised_Pikachu.jpg,Asked AI to summarize 50 pages — thesis: done.,Autocomplete wrote my resume. Me: speechless.,"""Just one tweak"" — AI pushed to production at 3AM.",
